# Phase 2 reconciliation status - THE Phase 3 cut-over gate.
# Statuses:
#   PENDING      - no evidence; no cut-over flag may be true anywhere.
#   GREEN_REPLAY - offline replay reconciliation evidence (docs/reconciliation/PHASE2-REPLAY-EVIDENCE.md);
#                  permits the cut-over flag in the dev environment ONLY.
#   GREEN        - sustained live non-prod shadow window + load test; permits promotion
#                  dev/sit -> uat/preprod -> prod (see docs/runbooks/PHASE3-CUTOVER-RUNBOOK.md).
# A GREEN or GREEN_REPLAY row must cite durable evidence.
# feature,centre,brand,status,evidence
cutover.branddirectory,bc,HERIT,GREEN_REPLAY,tools/replay/evidence/billingcenter-brand-feedstatus-replay.log.gz
cutover.branddirectory,cm,ALBDIR,GREEN_REPLAY,tools/replay/evidence/contactmanager-brand-feedstatus-replay.log.gz
cutover.branddirectory,cm,ALBBRK,GREEN_REPLAY,tools/replay/evidence/contactmanager-brand-feedstatus-replay.log.gz
cutover.branddirectory,cm,RETPLS,GREEN_REPLAY,tools/replay/evidence/contactmanager-brand-feedstatus-replay.log.gz
cutover.branddirectory,cm,HERIT,GREEN_REPLAY,tools/replay/evidence/contactmanager-brand-feedstatus-replay.log.gz
cutover.newratingengine,pc,ALBDIR,GREEN_REPLAY,tools/replay/evidence/policycenter-rating-replay.log.gz
cutover.newratingengine,pc,ALBBRK,GREEN_REPLAY,tools/replay/evidence/policycenter-rating-replay.log.gz
cutover.newratingengine,pc,RETPLS,GREEN_REPLAY,tools/replay/evidence/policycenter-rating-replay.log.gz
cutover.newratingengine,pc,HERIT,GREEN_REPLAY,tools/replay/evidence/policycenter-rating-replay.log.gz
cutover.feedstatus,cc,ALBDIR,GREEN_REPLAY,tools/replay/evidence/claimcenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,cc,ALBBRK,GREEN_REPLAY,tools/replay/evidence/claimcenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,cc,RETPLS,GREEN_REPLAY,tools/replay/evidence/claimcenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,cc,HERIT,GREEN_REPLAY,tools/replay/evidence/claimcenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,pc,ALBDIR,GREEN_REPLAY,tools/replay/evidence/policycenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,pc,ALBBRK,GREEN_REPLAY,tools/replay/evidence/policycenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,pc,RETPLS,GREEN_REPLAY,tools/replay/evidence/policycenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,pc,HERIT,GREEN_REPLAY,tools/replay/evidence/policycenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,bc,ALBDIR,GREEN_REPLAY,tools/replay/evidence/billingcenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,bc,ALBBRK,GREEN_REPLAY,tools/replay/evidence/billingcenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,bc,RETPLS,GREEN_REPLAY,tools/replay/evidence/billingcenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,bc,HERIT,GREEN_REPLAY,tools/replay/evidence/billingcenter-brand-feedstatus-replay.log.gz
cutover.feedstatus,cm,ALBDIR,GREEN_REPLAY,tools/replay/evidence/contactmanager-brand-feedstatus-replay.log.gz
cutover.feedstatus,cm,ALBBRK,GREEN_REPLAY,tools/replay/evidence/contactmanager-brand-feedstatus-replay.log.gz
cutover.feedstatus,cm,RETPLS,GREEN_REPLAY,tools/replay/evidence/contactmanager-brand-feedstatus-replay.log.gz
cutover.feedstatus,cm,HERIT,GREEN_REPLAY,tools/replay/evidence/contactmanager-brand-feedstatus-replay.log.gz
